rdtsc Repeats: 1, Average cycles: 0xb2, Averge min: 0xb1
rdtsc Repeats: 2, Average cycles: 0x66, Averge min: 0x66
rdtsc Repeats: 3, Average cycles: 0x4d, Averge min: 0x4d
rdtsc Repeats: 4, Average cycles: 0x40, Averge min: 0x40
rdtsc Repeats: 5, Average cycles: 0x39, Averge min: 0x39
rdtsc Repeats: 6, Average cycles: 0x35, Averge min: 0x34
rdtsc Repeats: 7, Average cycles: 0x36, Averge min: 0x31
rdtsc Repeats: 8, Average cycles: 0x2d, Averge min: 0x2d
rdtsc Repeats: 9, Average cycles: 0x2c, Averge min: 0x2b
rdtsc Repeats: 10, Average cycles: 0x2e, Averge min: 0x2a
rdtsc Repeats: 20, Average cycles: 0x22, Averge min: 0x22
rdtsc Repeats: 30, Average cycles: 0x20, Averge min: 0x20
rdtsc Repeats: 40, Average cycles: 0x1e, Averge min: 0x1e
rdtsc Repeats: 50, Average cycles: 0x1e, Averge min: 0x1e
rdtsc Repeats: 60, Average cycles: 0x1d, Averge min: 0x1d
rdtsc Repeats: 70, Average cycles: 0x1d, Averge min: 0x1d
rdtsc Repeats: 80, Average cycles: 0x1c, Averge min: 0x1c
rdtsc Repeats: 90, Average cycles: 0x1c, Averge min: 0x1c
rdtsc Repeats: 100, Average cycles: 0x1c, Averge min: 0x1c
rdtsc Repeats: 200, Average cycles: 0x1b, Averge min: 0x1b
rdtsc Repeats: 300, Average cycles: 0x1b, Averge min: 0x1b
rdtsc Repeats: 400, Average cycles: 0x1b, Averge min: 0x1b
rdtsc Repeats: 500, Average cycles: 0x1b, Averge min: 0x1b
rdtsc Repeats: 600, Average cycles: 0x1b, Averge min: 0x1b
rdtsc Repeats: 700, Average cycles: 0x1b, Averge min: 0x1b
rdtsc Repeats: 800, Average cycles: 0x1b, Averge min: 0x1b
rdtsc Repeats: 900, Average cycles: 0x1b, Averge min: 0x1b
rdtsc Repeats: 1000, Average cycles: 0x1d, Averge min: 0x1b
rdtsc Repeats: 2000, Average cycles: 0x1b, Averge min: 0x1b
rdtsc Repeats: 3000, Average cycles: 0x1b, Averge min: 0x1b
rdtsc Repeats: 4000, Average cycles: 0x1b, Averge min: 0x1b
rdtsc Repeats: 5000, Average cycles: 0x1b, Averge min: 0x1b
rdtsc Repeats: 6000, Average cycles: 0x1b, Averge min: 0x1b
rdtsc Repeats: 7000, Average cycles: 0x1b, Averge min: 0x1b
rdtsc Repeats: 8000, Average cycles: 0x1b, Averge min: 0x1b
rdtsc Repeats: 9000, Average cycles: 0x1b, Averge min: 0x1b
rdtsc Repeats: 10000, Average cycles: 0x1b, Averge min: 0x1b
